State,Condition Group,Condition,COVID-19 Deaths
Arizona,Respiratory diseases,Adult respiratory distress syndrome,1488
Arizona,Respiratory diseases,Respiratory failure,4170
Arizona,Respiratory diseases,Respiratory arrest,210
Arizona,Respiratory diseases,Other diseases of the respiratory system,402
Arizona,Circulatory diseases,Hypertensive diseases,1413
Arizona,Circulatory diseases,Ischemic heart disease,762
Arizona,Circulatory diseases,Cardiac arrest,1062
Arizona,Circulatory diseases,Cardiac arrhythmia,550
Arizona,Circulatory diseases,Heart failure,502
Arizona,Circulatory diseases,Cerebrovascular diseases,318
Arizona,Circulatory diseases,Other diseases of the circulatory system,597
Arizona,Sepsis,Sepsis,630
Arizona,Malignant neoplasms,Malignant neoplasms,304
Arizona,Diabetes,Diabetes,1412
Arizona,Obesity,Obesity,487
Arizona,Alzheimer disease,Alzheimer disease,329
Arizona,Vascular and unspecified dementia,Vascular and unspecified dementia,624
Arizona,Renal failure,Renal failure,789
Arizona,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",198
Arizona,All other conditions and causes (residual),All other conditions and causes (residual),3300
Arkansas,Respiratory diseases,Influenza and pneumonia,1681
Arkansas,Respiratory diseases,Chronic lower respiratory diseases,358
Arkansas,Respiratory diseases,Adult respiratory distress syndrome,568
Arkansas,Respiratory diseases,Respiratory failure,1624
Arkansas,Respiratory diseases,Respiratory arrest,113
Arkansas,Respiratory diseases,Other diseases of the respiratory system,121
Arkansas,Circulatory diseases,Hypertensive diseases,746
Arkansas,Circulatory diseases,Ischemic heart disease,402
Arkansas,Circulatory diseases,Cardiac arrest,465
Arkansas,Circulatory diseases,Cardiac arrhythmia,245
Arkansas,Circulatory diseases,Heart failure,321
Arkansas,Circulatory diseases,Cerebrovascular diseases,174
Arkansas,Circulatory diseases,Other diseases of the circulatory system,164
Arkansas,Sepsis,Sepsis,324
Arkansas,Malignant neoplasms,Malignant neoplasms,138
Arkansas,Diabetes,Diabetes,553
Arkansas,Obesity,Obesity,101
Arkansas,Alzheimer disease,Alzheimer disease,220
Arkansas,Vascular and unspecified dementia,Vascular and unspecified dementia,428
Arkansas,Renal failure,Renal failure,340
Arkansas,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",63
Arkansas,All other conditions and causes (residual),All other conditions and causes (residual),1314
California,Respiratory diseases,Influenza and pneumonia,17601
California,Respiratory diseases,Chronic lower respiratory diseases,2271
California,Respiratory diseases,Adult respiratory distress syndrome,3164
California,Respiratory diseases,Respiratory failure,15536
California,Respiratory diseases,Respiratory arrest,1072
California,Respiratory diseases,Other diseases of the respiratory system,1184
California,Circulatory diseases,Hypertensive diseases,6936
California,Circulatory diseases,Ischemic heart disease,3441
California,Circulatory diseases,Cardiac arrest,9550
California,Circulatory diseases,Cardiac arrhythmia,2348
California,Circulatory diseases,Heart failure,2244
California,Circulatory diseases,Cerebrovascular diseases,1679
California,Circulatory diseases,Other diseases of the circulatory system,1820
California,Sepsis,Sepsis,4724
California,Malignant neoplasms,Malignant neoplasms,1345
California,Diabetes,Diabetes,7352
California,Obesity,Obesity,1622
California,Alzheimer disease,Alzheimer disease,1650
California,Vascular and unspecified dementia,Vascular and unspecified dementia,2376
California,Renal failure,Renal failure,3940
California,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",492
California,All other conditions and causes (residual),All other conditions and causes (residual),10933
Colorado,Respiratory diseases,Influenza and pneumonia,2251
Colorado,Respiratory diseases,Chronic lower respiratory diseases,643
Colorado,Respiratory diseases,Adult respiratory distress syndrome,1083
Colorado,Respiratory diseases,Respiratory failure,1854
Colorado,Respiratory diseases,Respiratory arrest,45
Colorado,Respiratory diseases,Other diseases of the respiratory system,250
Colorado,Circulatory diseases,Hypertensive diseases,961
Colorado,Circulatory diseases,Ischemic heart disease,531
Colorado,Circulatory diseases,Cardiac arrest,218
Colorado,Circulatory diseases,Cardiac arrhythmia,481
Colorado,Circulatory diseases,Heart failure,479
Colorado,Circulatory diseases,Cerebrovascular diseases,382
Colorado,Circulatory diseases,Other diseases of the circulatory system,482
Colorado,Sepsis,Sepsis,421
Colorado,Malignant neoplasms,Malignant neoplasms,272
Colorado,Diabetes,Diabetes,795
Colorado,Obesity,Obesity,249
Colorado,Alzheimer disease,Alzheimer disease,375
Colorado,Vascular and unspecified dementia,Vascular and unspecified dementia,914
Colorado,Renal failure,Renal failure,525
Colorado,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",184
Colorado,All other conditions and causes (residual),All other conditions and causes (residual),2568
Connecticut,Respiratory diseases,Influenza and pneumonia,1447
Connecticut,Respiratory diseases,Chronic lower respiratory diseases,596
Connecticut,Respiratory diseases,Adult respiratory distress syndrome,355
Connecticut,Respiratory diseases,Respiratory failure,2236
Connecticut,Respiratory diseases,Respiratory arrest,186
Connecticut,Respiratory diseases,Other diseases of the respiratory system,565
Connecticut,Circulatory diseases,Hypertensive diseases,778
Connecticut,Circulatory diseases,Ischemic heart disease,536
Connecticut,Circulatory diseases,Cardiac arrest,738
Connecticut,Circulatory diseases,Cardiac arrhythmia,367
Connecticut,Circulatory diseases,Heart failure,558
Connecticut,Circulatory diseases,Cerebrovascular diseases,237
Connecticut,Circulatory diseases,Other diseases of the circulatory system,398
Connecticut,Sepsis,Sepsis,459
Connecticut,Malignant neoplasms,Malignant neoplasms,283
Connecticut,Diabetes,Diabetes,647
Connecticut,Obesity,Obesity,131
Connecticut,Alzheimer disease,Alzheimer disease,177
Connecticut,Vascular and unspecified dementia,Vascular and unspecified dementia,995
Connecticut,Renal failure,Renal failure,438
Connecticut,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",118
Connecticut,All other conditions and causes (residual),All other conditions and causes (residual),2000
Delaware,Respiratory diseases,Influenza and pneumonia,416
Delaware,Respiratory diseases,Chronic lower respiratory diseases,35
Delaware,Respiratory diseases,Adult respiratory distress syndrome,88
Delaware,Respiratory diseases,Respiratory failure,237
Delaware,Respiratory diseases,Respiratory arrest,
Delaware,Respiratory diseases,Other diseases of the respiratory system,50
Delaware,Circulatory diseases,Hypertensive diseases,12
Delaware,Circulatory diseases,Ischemic heart disease,33
Delaware,Circulatory diseases,Cardiac arrest,36
Delaware,Circulatory diseases,Cardiac arrhythmia,16
Delaware,Circulatory diseases,Heart failure,22
Delaware,Circulatory diseases,Cerebrovascular diseases,20
Delaware,Circulatory diseases,Other diseases of the circulatory system,35
Delaware,Sepsis,Sepsis,75
Delaware,Malignant neoplasms,Malignant neoplasms,16
Delaware,Diabetes,Diabetes,16
Delaware,Obesity,Obesity,
Delaware,Alzheimer disease,Alzheimer disease,11
Delaware,Vascular and unspecified dementia,Vascular and unspecified dementia,48
Delaware,Renal failure,Renal failure,57
Delaware,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",10
Delaware,All other conditions and causes (residual),All other conditions and causes (residual),314
District of Columbia,Respiratory diseases,Influenza and pneumonia,865
District of Columbia,Respiratory diseases,Chronic lower respiratory diseases,121
District of Columbia,Respiratory diseases,Adult respiratory distress syndrome,877
District of Columbia,Respiratory diseases,Respiratory failure,
District of Columbia,Respiratory diseases,Respiratory arrest,0
District of Columbia,Respiratory diseases,Other diseases of the respiratory system,14
District of Columbia,Circulatory diseases,Hypertensive diseases,653
District of Columbia,Circulatory diseases,Ischemic heart disease,81
District of Columbia,Circulatory diseases,Cardiac arrest,0
District of Columbia,Circulatory diseases,Cardiac arrhythmia,35
District of Columbia,Circulatory diseases,Heart failure,37
District of Columbia,Circulatory diseases,Cerebrovascular diseases,27
District of Columbia,Circulatory diseases,Other diseases of the circulatory system,48
District of Columbia,Sepsis,Sepsis,
District of Columbia,Malignant neoplasms,Malignant neoplasms,87
District of Columbia,Diabetes,Diabetes,424
District of Columbia,Obesity,Obesity,85
District of Columbia,Alzheimer disease,Alzheimer disease,11
District of Columbia,Vascular and unspecified dementia,Vascular and unspecified dementia,100
District of Columbia,Renal failure,Renal failure,50
District of Columbia,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",10
District of Columbia,All other conditions and causes (residual),All other conditions and causes (residual),264
Florida,Respiratory diseases,Influenza and pneumonia,11001
Florida,Respiratory diseases,Chronic lower respiratory diseases,3297
Florida,Respiratory diseases,Adult respiratory distress syndrome,2026
Florida,Respiratory diseases,Respiratory failure,4770
Florida,Respiratory diseases,Respiratory arrest,209
Florida,Respiratory diseases,Other diseases of the respiratory system,829
Florida,Circulatory diseases,Hypertensive diseases,8861
Florida,Circulatory diseases,Ischemic heart disease,4930
Florida,Circulatory diseases,Cardiac arrest,1196
Florida,Circulatory diseases,Cardiac arrhythmia,1680
Florida,Circulatory diseases,Heart failure,1102
Florida,Circulatory diseases,Cerebrovascular diseases,1282
Florida,Circulatory diseases,Other diseases of the circulatory system,1300
Florida,Sepsis,Sepsis,1492
Florida,Malignant neoplasms,Malignant neoplasms,1240
Florida,Diabetes,Diabetes,5502
Florida,Obesity,Obesity,1516
Florida,Alzheimer disease,Alzheimer disease,666
Florida,Vascular and unspecified dementia,Vascular and unspecified dementia,3285
Florida,Renal failure,Renal failure,1236
Florida,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",567
Florida,All other conditions and causes (residual),All other conditions and causes (residual),7407
Georgia,Respiratory diseases,Influenza and pneumonia,4807
Georgia,Respiratory diseases,Chronic lower respiratory diseases,631
Georgia,Respiratory diseases,Adult respiratory distress syndrome,910
Georgia,Respiratory diseases,Respiratory failure,4676
Georgia,Respiratory diseases,Respiratory arrest,307
Georgia,Respiratory diseases,Other diseases of the respiratory system,493
Georgia,Circulatory diseases,Hypertensive diseases,1496
Georgia,Circulatory diseases,Ischemic heart disease,625
Georgia,Circulatory diseases,Cardiac arrest,1474
Georgia,Circulatory diseases,Cardiac arrhythmia,481
Georgia,Circulatory diseases,Heart failure,629
Georgia,Circulatory diseases,Cerebrovascular diseases,453
Georgia,Circulatory diseases,Other diseases of the circulatory system,562
Georgia,Sepsis,Sepsis,1474
Georgia,Malignant neoplasms,Malignant neoplasms,331
Georgia,Diabetes,Diabetes,1173
Georgia,Obesity,Obesity,339
Georgia,Alzheimer disease,Alzheimer disease,384
Georgia,Vascular and unspecified dementia,Vascular and unspecified dementia,760
Georgia,Renal failure,Renal failure,968
Georgia,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",154
Georgia,All other conditions and causes (residual),All other conditions and causes (residual),3792
Hawaii,Respiratory diseases,Influenza and pneumonia,169
Hawaii,Respiratory diseases,Chronic lower respiratory diseases,26
Hawaii,Respiratory diseases,Adult respiratory distress syndrome,58
Hawaii,Respiratory diseases,Respiratory failure,128
Hawaii,Respiratory diseases,Respiratory arrest,
Hawaii,Respiratory diseases,Other diseases of the respiratory system,21
Hawaii,Circulatory diseases,Hypertensive diseases,52
Hawaii,Circulatory diseases,Ischemic heart disease,39
Hawaii,Circulatory diseases,Cardiac arrest,40
Hawaii,Circulatory diseases,Cardiac arrhythmia,17
Hawaii,Circulatory diseases,Heart failure,27
Hawaii,Circulatory diseases,Cerebrovascular diseases,14
Hawaii,Circulatory diseases,Other diseases of the circulatory system,28
Hawaii,Sepsis,Sepsis,45
Hawaii,Malignant neoplasms,Malignant neoplasms,16
Hawaii,Diabetes,Diabetes,59
Hawaii,Obesity,Obesity,15
Hawaii,Alzheimer disease,Alzheimer disease,
Hawaii,Vascular and unspecified dementia,Vascular and unspecified dementia,22
Hawaii,Renal failure,Renal failure,47
Hawaii,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",12
Hawaii,All other conditions and causes (residual),All other conditions and causes (residual),123
Idaho,Respiratory diseases,Influenza and pneumonia,581
Idaho,Respiratory diseases,Chronic lower respiratory diseases,187
Idaho,Respiratory diseases,Adult respiratory distress syndrome,155
Idaho,Respiratory diseases,Respiratory failure,665
Idaho,Respiratory diseases,Respiratory arrest,29
Idaho,Respiratory diseases,Other diseases of the respiratory system,77
Idaho,Circulatory diseases,Hypertensive diseases,266
Idaho,Circulatory diseases,Ischemic heart disease,150
Idaho,Circulatory diseases,Cardiac arrest,61
Idaho,Circulatory diseases,Cardiac arrhythmia,123
Idaho,Circulatory diseases,Heart failure,160
Idaho,Circulatory diseases,Cerebrovascular diseases,110
Idaho,Circulatory diseases,Other diseases of the circulatory system,120
Idaho,Sepsis,Sepsis,104
Idaho,Malignant neoplasms,Malignant neoplasms,97
Idaho,Diabetes,Diabetes,236
Idaho,Obesity,Obesity,74
Idaho,Alzheimer disease,Alzheimer disease,98
Idaho,Vascular and unspecified dementia,Vascular and unspecified dementia,179
Idaho,Renal failure,Renal failure,131
Idaho,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",42
Idaho,All other conditions and causes (residual),All other conditions and causes (residual),739
Illinois,Respiratory diseases,Influenza and pneumonia,7071
Illinois,Respiratory diseases,Chronic lower respiratory diseases,2195
Illinois,Respiratory diseases,Adult respiratory distress syndrome,629
Illinois,Respiratory diseases,Respiratory failure,4635
Illinois,Respiratory diseases,Respiratory arrest,128
Illinois,Respiratory diseases,Other diseases of the respiratory system,317
Illinois,Circulatory diseases,Hypertensive diseases,6724
Illinois,Circulatory diseases,Ischemic heart disease,2179
Illinois,Circulatory diseases,Cardiac arrest,533
Illinois,Circulatory diseases,Cardiac arrhythmia,1272
Illinois,Circulatory diseases,Heart failure,1669
Illinois,Circulatory diseases,Cerebrovascular diseases,735
Illinois,Circulatory diseases,Other diseases of the circulatory system,831
Illinois,Sepsis,Sepsis,935
Illinois,Malignant neoplasms,Malignant neoplasms,810
Illinois,Diabetes,Diabetes,4196
Illinois,Obesity,Obesity,893
Illinois,Alzheimer disease,Alzheimer disease,543
Illinois,Vascular and unspecified dementia,Vascular and unspecified dementia,1796
Illinois,Renal failure,Renal failure,782
Illinois,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",255
Illinois,All other conditions and causes (residual),All other conditions and causes (residual),4799
Indiana,Respiratory diseases,Influenza and pneumonia,3930
Indiana,Respiratory diseases,Chronic lower respiratory diseases,1213
Indiana,Respiratory diseases,Adult respiratory distress syndrome,756
Indiana,Respiratory diseases,Respiratory failure,3825
Indiana,Respiratory diseases,Respiratory arrest,199
Indiana,Respiratory diseases,Other diseases of the respiratory system,476
Indiana,Circulatory diseases,Hypertensive diseases,1778
Indiana,Circulatory diseases,Ischemic heart disease,1185
Indiana,Circulatory diseases,Cardiac arrest,623
Indiana,Circulatory diseases,Cardiac arrhythmia,952
Indiana,Circulatory diseases,Heart failure,905
Indiana,Circulatory diseases,Cerebrovascular diseases,570
Indiana,Circulatory diseases,Other diseases of the circulatory system,694
Indiana,Sepsis,Sepsis,924
Indiana,Malignant neoplasms,Malignant neoplasms,438
Indiana,Diabetes,Diabetes,1436
Indiana,Obesity,Obesity,282
Indiana,Alzheimer disease,Alzheimer disease,567
Indiana,Vascular and unspecified dementia,Vascular and unspecified dementia,1488
Indiana,Renal failure,Renal failure,1052
Indiana,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",231
Indiana,All other conditions and causes (residual),All other conditions and causes (residual),4424
Iowa,Respiratory diseases,Influenza and pneumonia,1456
Iowa,Respiratory diseases,Chronic lower respiratory diseases,551
Iowa,Respiratory diseases,Adult respiratory distress syndrome,418
Iowa,Respiratory diseases,Respiratory failure,1627
Iowa,Respiratory diseases,Respiratory arrest,181
Iowa,Respiratory diseases,Other diseases of the respiratory system,167
Iowa,Circulatory diseases,Hypertensive diseases,784
Iowa,Circulatory diseases,Ischemic heart disease,563
Iowa,Circulatory diseases,Cardiac arrest,301
Iowa,Circulatory diseases,Cardiac arrhythmia,432
Iowa,Circulatory diseases,Heart failure,468
Iowa,Circulatory diseases,Cerebrovascular diseases,243
Iowa,Circulatory diseases,Other diseases of the circulatory system,340
Iowa,Sepsis,Sepsis,268
Iowa,Malignant neoplasms,Malignant neoplasms,246
Iowa,Diabetes,Diabetes,746
Iowa,Obesity,Obesity,189
Iowa,Alzheimer disease,Alzheimer disease,323
Iowa,Vascular and unspecified dementia,Vascular and unspecified dementia,698
Iowa,Renal failure,Renal failure,403
Iowa,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",88
Iowa,All other conditions and causes (residual),All other conditions and causes (residual),2018
Kansas,Respiratory diseases,Influenza and pneumonia,1365
Kansas,Respiratory diseases,Chronic lower respiratory diseases,339
Kansas,Respiratory diseases,Adult respiratory distress syndrome,293
Kansas,Respiratory diseases,Respiratory failure,1630
Kansas,Respiratory diseases,Respiratory arrest,77
Kansas,Respiratory diseases,Other diseases of the respiratory system,123
Kansas,Circulatory diseases,Hypertensive diseases,458
Kansas,Circulatory diseases,Ischemic heart disease,360
Kansas,Circulatory diseases,Cardiac arrest,320
Kansas,Circulatory diseases,Cardiac arrhythmia,227
Kansas,Circulatory diseases,Heart failure,279
Kansas,Circulatory diseases,Cerebrovascular diseases,160
Kansas,Circulatory diseases,Other diseases of the circulatory system,185
Kansas,Sepsis,Sepsis,275
Kansas,Malignant neoplasms,Malignant neoplasms,174
Kansas,Diabetes,Diabetes,447
Kansas,Obesity,Obesity,124
Kansas,Alzheimer disease,Alzheimer disease,137
Kansas,Vascular and unspecified dementia,Vascular and unspecified dementia,481
Kansas,Renal failure,Renal failure,298
Kansas,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",53
Kansas,All other conditions and causes (residual),All other conditions and causes (residual),1353
Kentucky,Respiratory diseases,Influenza and pneumonia,1954
Kentucky,Respiratory diseases,Chronic lower respiratory diseases,556
Kentucky,Respiratory diseases,Adult respiratory distress syndrome,397
Kentucky,Respiratory diseases,Respiratory failure,2013
Kentucky,Respiratory diseases,Respiratory arrest,54
Kentucky,Respiratory diseases,Other diseases of the respiratory system,206
Kentucky,Circulatory diseases,Hypertensive diseases,807
Kentucky,Circulatory diseases,Ischemic heart disease,551
Kentucky,Circulatory diseases,Cardiac arrest,315
Kentucky,Circulatory diseases,Cardiac arrhythmia,470
Kentucky,Circulatory diseases,Heart failure,512
Kentucky,Circulatory diseases,Cerebrovascular diseases,264
Kentucky,Circulatory diseases,Other diseases of the circulatory system,313
Kentucky,Sepsis,Sepsis,766
Kentucky,Malignant neoplasms,Malignant neoplasms,251
Kentucky,Diabetes,Diabetes,857
Kentucky,Obesity,Obesity,121
Kentucky,Alzheimer disease,Alzheimer disease,200
Kentucky,Vascular and unspecified dementia,Vascular and unspecified dementia,747
Kentucky,Renal failure,Renal failure,537
Kentucky,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",155
Kentucky,All other conditions and causes (residual),All other conditions and causes (residual),2311
Louisiana,Respiratory diseases,Influenza and pneumonia,3288
Louisiana,Respiratory diseases,Chronic lower respiratory diseases,543
Louisiana,Respiratory diseases,Adult respiratory distress syndrome,1619
Louisiana,Respiratory diseases,Respiratory failure,2573
Louisiana,Respiratory diseases,Respiratory arrest,90
Louisiana,Respiratory diseases,Other diseases of the respiratory system,376
Louisiana,Circulatory diseases,Hypertensive diseases,1751
Louisiana,Circulatory diseases,Ischemic heart disease,716
Louisiana,Circulatory diseases,Cardiac arrest,459
Louisiana,Circulatory diseases,Cardiac arrhythmia,435
Louisiana,Circulatory diseases,Heart failure,546
Louisiana,Circulatory diseases,Cerebrovascular diseases,386
Louisiana,Circulatory diseases,Other diseases of the circulatory system,367
Louisiana,Sepsis,Sepsis,646
Louisiana,Malignant neoplasms,Malignant neoplasms,270
Louisiana,Diabetes,Diabetes,1103
Louisiana,Obesity,Obesity,266
Louisiana,Alzheimer disease,Alzheimer disease,239
Louisiana,Vascular and unspecified dementia,Vascular and unspecified dementia,432
Louisiana,Renal failure,Renal failure,489
Louisiana,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",91
Louisiana,All other conditions and causes (residual),All other conditions and causes (residual),2188
Maine,Respiratory diseases,Influenza and pneumonia,97
Maine,Respiratory diseases,Chronic lower respiratory diseases,52
Maine,Respiratory diseases,Adult respiratory distress syndrome,37
Maine,Respiratory diseases,Respiratory failure,45
Maine,Respiratory diseases,Respiratory arrest,
Maine,Respiratory diseases,Other diseases of the respiratory system,10
Maine,Circulatory diseases,Hypertensive diseases,58
Maine,Circulatory diseases,Ischemic heart disease,49
Maine,Circulatory diseases,Cardiac arrest,
Maine,Circulatory diseases,Cardiac arrhythmia,54
Maine,Circulatory diseases,Heart failure,44
Maine,Circulatory diseases,Cerebrovascular diseases,19
Maine,Circulatory diseases,Other diseases of the circulatory system,28
Maine,Sepsis,Sepsis,
Maine,Malignant neoplasms,Malignant neoplasms,18
Maine,Diabetes,Diabetes,47
Maine,Obesity,Obesity,
Maine,Alzheimer disease,Alzheimer disease,36
Maine,Vascular and unspecified dementia,Vascular and unspecified dementia,104
Maine,Renal failure,Renal failure,27
Maine,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",
Maine,All other conditions and causes (residual),All other conditions and causes (residual),140
Maryland,Respiratory diseases,Influenza and pneumonia,2352
Maryland,Respiratory diseases,Chronic lower respiratory diseases,693
Maryland,Respiratory diseases,Adult respiratory distress syndrome,617
Maryland,Respiratory diseases,Respiratory failure,1613
Maryland,Respiratory diseases,Respiratory arrest,59
Maryland,Respiratory diseases,Other diseases of the respiratory system,257
Maryland,Circulatory diseases,Hypertensive diseases,1733
Maryland,Circulatory diseases,Ischemic heart disease,824
Maryland,Circulatory diseases,Cardiac arrest,261
Maryland,Circulatory diseases,Cardiac arrhythmia,685
Maryland,Circulatory diseases,Heart failure,533
Maryland,Circulatory diseases,Cerebrovascular diseases,531
Maryland,Circulatory diseases,Other diseases of the circulatory system,635
Maryland,Sepsis,Sepsis,677
Maryland,Malignant neoplasms,Malignant neoplasms,392
Maryland,Diabetes,Diabetes,1252
Maryland,Obesity,Obesity,274
Maryland,Alzheimer disease,Alzheimer disease,158
Maryland,Vascular and unspecified dementia,Vascular and unspecified dementia,1268
Maryland,Renal failure,Renal failure,892
Maryland,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",161
Maryland,All other conditions and causes (residual),All other conditions and causes (residual),2977
Massachusetts,Respiratory diseases,Influenza and pneumonia,3487
Massachusetts,Respiratory diseases,Chronic lower respiratory diseases,749
Massachusetts,Respiratory diseases,Adult respiratory distress syndrome,861
Massachusetts,Respiratory diseases,Respiratory failure,3696
Massachusetts,Respiratory diseases,Respiratory arrest,324
Massachusetts,Respiratory diseases,Other diseases of the respiratory system,426
Massachusetts,Circulatory diseases,Hypertensive diseases,963
Massachusetts,Circulatory diseases,Ischemic heart disease,730
Massachusetts,Circulatory diseases,Cardiac arrest,1224
Massachusetts,Circulatory diseases,Cardiac arrhythmia,620
Massachusetts,Circulatory diseases,Heart failure,860
Massachusetts,Circulatory diseases,Cerebrovascular diseases,403
Massachusetts,Circulatory diseases,Other diseases of the circulatory system,477
Massachusetts,Sepsis,Sepsis,748
Massachusetts,Malignant neoplasms,Malignant neoplasms,438
Massachusetts,Diabetes,Diabetes,863
Massachusetts,Obesity,Obesity,124
Massachusetts,Alzheimer disease,Alzheimer disease,336
Massachusetts,Vascular and unspecified dementia,Vascular and unspecified dementia,1999
Massachusetts,Renal failure,Renal failure,922
Massachusetts,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",204
Massachusetts,All other conditions and causes (residual),All other conditions and causes (residual),3753
Michigan,Respiratory diseases,Influenza and pneumonia,5630
Michigan,Respiratory diseases,Chronic lower respiratory diseases,1053
Michigan,Respiratory diseases,Adult respiratory distress syndrome,798
Michigan,Respiratory diseases,Respiratory failure,4147
Michigan,Respiratory diseases,Respiratory arrest,98
Michigan,Respiratory diseases,Other diseases of the respiratory system,328
Michigan,Circulatory diseases,Hypertensive diseases,1806
Michigan,Circulatory diseases,Ischemic heart disease,1292
Michigan,Circulatory diseases,Cardiac arrest,709
Michigan,Circulatory diseases,Cardiac arrhythmia,694
Michigan,Circulatory diseases,Heart failure,886
Michigan,Circulatory diseases,Cerebrovascular diseases,597
Michigan,Circulatory diseases,Other diseases of the circulatory system,644
Michigan,Sepsis,Sepsis,1271
Michigan,Malignant neoplasms,Malignant neoplasms,559
Michigan,Diabetes,Diabetes,1436
Michigan,Obesity,Obesity,337
Michigan,Alzheimer disease,Alzheimer disease,451
Michigan,Vascular and unspecified dementia,Vascular and unspecified dementia,1118
Michigan,Renal failure,Renal failure,1111
Michigan,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",220
Michigan,All other conditions and causes (residual),All other conditions and causes (residual),4119
Minnesota,Respiratory diseases,Influenza and pneumonia,1722
Minnesota,Respiratory diseases,Chronic lower respiratory diseases,795
